CTID,species,tissue_class,tissue_type,uberonongology_id,cancer_type,major_cell_type,cell_name,cellontology_id,marker,Symbol,GeneID,Genetype,Genename,UNIPROTID,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence,curator
CT229,Human,Cervical,Cervical,,Cervical carcinoma,epithelial cell,VSIG1+ CASC9+ HPV-related HSIL epithelial cluster,,,"VSIG1, CASC9",,,,,36967539,"Spatiotemporally deciphering the mysterious mechanism of persistent HPV-induced malignant transition and immune remodelling from HPV-infected normal cervix, precancer to cervical cancer: Integrating single-cell RNA-sequencing and spatial transcriptome",Clinical and translational medicine,2023,single cell transcriptome,10× Genomics,Clinical phenotype,distribution,clinical samples,Spatial RNA-seq,10× Genomics,protein,"In addition, the ‘HPV-related HSIL epithe lial cluster’ was prominent in the HPV-positive HSIL tissue sample specifically within the HSIL foci, highly expressing VSIG1 and CASC9.",
CT230,Human,Cervical,Cervical,,Cervical carcinoma,epithelial cell,CASP14+ CALML5+ HPV related CA cluster,,,"CASP14, CALML5",,,,,36967539,"Spatiotemporally deciphering the mysterious mechanism of persistent HPV-induced malignant transition and immune remodelling from HPV-infected normal cervix, precancer to cervical cancer: Integrating single-cell RNA-sequencing and spatial transcriptome",Clinical and translational medicine,2023,single cell transcriptome,10× Genomics,Clinical phenotype,distribution,clinical samples,Spatial RNA-seq,10× Genomics,protein,"Furthermore, the ‘HPV-related CA cluster’ was detected in the ST slides of CC, with high expression of CASP14 and CALML5.",
CT231,Human,Cervical,Cervical,,Cervical carcinoma,macrophage,C1QC+ TAMs,,,C1QC,,,,,34295336,Multi-Omics Analysis Showed the Clinical Value of Gene Signatures of C1QC+ and SPP1+ TAMs in Cervical Cancer,Frontiers in immunology,2021,single cell transcriptome,SMART-seq2 and 10x Genomic,Clinical phenotype,better OS and DSS,clinical samples,survival analysis,analysis,clinical data,"We found patients with C1QChigh and SPP1low TAMs gene signatures have the best overall survival (OS) and disease specific survival (DSS) (Figures 2E, F), whereas patients with C1QClow and SPP1high TAMs gene signatures have the worst OS and DSS (Figures 2E, F).",
CT232,Human,Cervical,Cervical,,Cervical carcinoma,macrophage,SPP1+ TAMs,,,SPP1,,,,,34295336,Multi-Omics Analysis Showed the Clinical Value of Gene Signatures of C1QC+ and SPP1+ TAMs in Cervical Cancer,Frontiers in immunology,2021,single cell transcriptome,SMART-seq2 and 10x Genomic,Clinical phenotype,worse OS and DSS,clinical samples,survival analysis,analysis,clinical data,"We found patients with C1QChigh and SPP1low TAMs gene signatures have the best overall survival (OS) and disease specific survival (DSS) (Figures 2E, F), whereas patients with C1QClow and SPP1high TAMs gene signatures have the worst OS and DSS (Figures 2E, F).",
CT233,Human,Cervical,Cervical,,Cervical carcinoma,epithelial cell,epi8,,,"CXCL10, GBP1, PARP14",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,existence,clinical samples,multiplex Immunofluorescence staining,"PANO 7plex immunohistochemistry kit (0004100100, Panovue)",protein,"We further confirmed the presence of epi8 in CESC by assessing the expression of the protein products of the key marker genes above using multiplex immunofluorescence.We labeled CESC sections for Pan-CK, IDO1, and HLA-DR, as well as for CD3, to detect T cells (Fig. 3I).",
CT234,Human,Cervical,Cervical,,Cervical carcinoma,macrophage,CCL20+ Mac,,,"CCL20, CXCL8, IL1B",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,negatively correlated with survival,clinical samples,survival analysis,analysis,clinical data,"This showed that the frequency of both CCL20+ and APOE+ macrophages was negatively correlated with survival (P < 0.0001 and = 0.023, respectively, log-rank test; Fig. 4F), while the abundance of CLEC9A+ DC was positively correlated with survival (P = 0.005, log-rank test; Fig. 4F).",
CT235,Human,Cervical,Cervical,,Cervical carcinoma,macrophage,APOE+ Mac,,,"APOE, APOC1, C1QC",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,negatively correlated with survival,clinical samples,survival analysis,analysis,clinical data,"This showed that the frequency of both CCL20+ and APOE+ macrophages was nega tively correlated with survival (P < 0.0001 and = 0.023, respectively, log-rank test; Fig. 4F), while the abundance of CLEC9A+ DC was positively correlated with survival (P = 0.005, log-rank test; Fig. 4F).",
CT236,Human,Cervical,Cervical,,Cervical carcinoma,dendritic cell,CLEC9A+ DC,,,"CLEC9A, WDFY4, CPVL",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,positively correlated with survival,clinical samples,survival analysis,analysis,clinical data,"This showed that the frequency of both CCL20+ and APOE+ macrophages was nega tively correlated with survival (P < 0.0001 and = 0.023, respectively, log-rank test; Fig. 4F), while the abundance of CLEC9A+ DC was positively correlated with survival (P = 0.005, log-rank test; Fig. 4F).",
CT237,Human,Cervical,Cervical,,Cervical carcinoma,NK cell,CD16+ NK,,,"FCGR3A, FGFBP2, MYOM2",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"We found that that high CD16+ NK and low CD56+ NK cell frequencies were correlated with longer survival of patients with CESC (P < 0.05, log-rank test; Fig. 5E), indicative of a potentially antagonistic role of each subset.",
CT238,Human,Cervical,Cervical,,Cervical carcinoma,NK cell,CD56+ NK,,,"NCAM1, TMIGD2, XCL2",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"We found that that high CD16+ NK and low CD56+ NK cell frequencies were correlated with longer survival of patients with CESC (P < 0.05, log-rank test; Fig. 5E), indicative of a potentially antagonistic role of each subset.",
CT239,Human,Cervical,Cervical,,Cervical carcinoma,T cell,TH17,,,"IL17A, CTSH, CTSL",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,poor prognosis,clinical samples,survival analysis,analysis,clinical data,"Here, we found that CCL20 expression level in bulk RNA-seq data from CESC patient samples correlated with poor prognosis (P = 0.002, log-rank test; Fig. 5J).",
CT240,Human,Cervical,Cervical,,Cervical carcinoma,T cell,TNFRSF9high Treg cells,,,"IL1R2, IL1R1, ICA1",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,poor prognosis,clinical samples,survival analysis,analysis,clinical data,"Here, we found that CCL20 expression level in bulk RNA-seq data from CESC patient samples correlated with poor prognosis (P = 0.002, log-rank test; Fig. 5J).",
CT241,Human,Cervical,Cervical,,Cervical carcinoma,endothelial cell,PODXL+ EC,,,"PODXL, INSR",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"Survival analysis showed that the abundance of PODXL+ EC was negatively correlated with CESC patients’ survival (P = 0.043, log-rank test; Fig. 6G), while there was some evidence of a possible positive cor relation between MHChigh EC frequency and survival time (P = 0.072, log-rank test; Fig. 6G).",
CT242,Human,Cervical,Cervical,,Cervical carcinoma,endothelial cell,MHChigh EC,,,"HLA-DPA1, SELP",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Survival analysis showed that the abundance of PODXL+ EC was negatively correlated with CESC patients’ survival (P = 0.043, log-rank test; Fig. 6G), while there was some evidence of a possible positive correlation between MHChigh EC frequency and survival time (P = 0.072, log-rank test; Fig. 6G).",
CT243,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,mCAFs,,,"PDGFRA, LUM, DCN",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Biological phenotype,existence,clinical samples,multiplex Immunofluorescence staining,"PANO 7plex immunohistochemistry kit (0004100100, Panovue)",protein,"Among these, we confirmed the expression of PDGFRA and melanoma cell adhesion molecule (MCAM) by mul tiplex immunofluorescence labeling of CESC sections, which also revealed that mCAFs were predominantly located within the colla gen-rich stromal streaks (Fig. 7D). ",
CT244,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,mCAFs,,,"PDGFRA, LUM, DCN",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,poor prognosis,clinical samples,survival analysis,analysis,clinical data,"Notably, mCAF abundance was significantly correlated with poor survival of patients with CESC (Fig. 7H), indicating that mCAFs may promote CESC progression.",
CT245,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,mCAFs,,,"PDGFRA, LUM, DCN",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Biological phenotype,interaction,clinical samples,multiplex Immunofluorescence staining,"PANO 7plex immunohistochemistry kit (0004100100, Panovue)",protein,"These transcriptional data were mirrored by immunolabeling of CESC sections, confirming that mCAFs mainly expressed neuregulin 1 (NRG1) and wnt family member 5A (WNT5A), while tumor cells corre spondingly expressed high levels of the receptors including ERBB3 and FZD6 (Fig. 8C and fig. S8, A and B).",
CT246,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,mCAFs,,,"PDGFRA, LUM, DCN",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Biological phenotype,enhanced tumor sphere formation and the migration of CESC cells,clinical samples,"co-culture, Migration assays","Beijing Beina Chuanglian Biotechnology Institute, American Type Culture Collection",protein,The presence of mCAFs significantly enhanced tumor sphere formation and the migration of CESC cells (Fig. 8D).,
CT247,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,mCAFs,,,"PDGFRA, LUM, DCN",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Biological phenotype,interaction,clinical samples,qRT-PCR,"miScript Reverse Transcription Kit (Qiagen Sciences Inc., USA)",protein,"Thereafter, quantitative reverse transcription polymerase chain reaction (qRT-PCR), immunofluorescence labeling, and flow cytometry analysis indicated that the in vitro–cultured mCAFs also expressed canonical mesenchymal markers, including abundant expression of NRG1 and WNT5A (fig. S8, C to E), which corresponded well with the transcriptomic features of mCAFs via scRNA-seq analysis.",
CT248,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,mCAFs,,,"PDGFRA, LUM, DCN",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Biological phenotype,interaction,clinical samples,Immunofluorescence staining,"BD Biosciences, Sigma-Aldrich, Abcam, Cell Sig naling Technology, Novus Biologicals, Invitrogen",protein,"Thereafter, quantitative reverse transcription polymerase chain reaction (qRT-PCR), immunofluorescence labeling, and flow cytometry analysis indicated that the in vitro–cultured mCAFs also expressed canonical mesenchymal markers, including abundant expression of NRG1 and WNT5A (fig. S8, C to E), which corresponded well with the transcriptomic features of mCAFs via scRNA-seq analysis.",
CT249,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,mCAFs,,,"PDGFRA, LUM, DCN",,,,,36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,Biological phenotype,interaction,clinical samples,flow cytometry,BD Biosciences,protein,"Thereafter, quantitative reverse transcription polymerase chain reaction (qRT-PCR), immunofluorescence labeling, and flow cytometry analysis indicated that the in vitro–cultured mCAFs also expressed canonical mesenchymal markers, including abundant expression of NRG1 and WNT5A (fig. S8, C to E), which corresponded well with the transcriptomic features of mCAFs via scRNA-seq analysis.",
CT250,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,CXCL8+CAFs,,,CXCL8,,,,,36357663,Single-cell transcriptomics reveals cellular heterogeneity and molecular stratification of cervical cancer,Communications biology,2022,single cell transcriptome,10× Genomics,Clinical phenotype,poor prognosis,clinical samples,survival analysis,analysis,clinical data,"More importantly, we identified several DEGs in fibroblasts that were significantly associated with patient prognosis, such as CXCL8 and IGF1. The CXCL8 gene was upregulated in tumor fibroblasts and the high expression was associated with poor prognosis (Fig. 3f). The IGF1 gene was downregulated in tumor fibroblasts and the low expression was associated with poor prognosis (Fig. 3g).",
CT251,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,IGF1+fibroblasts,,,IGF1,,,,,36357663,Single-cell transcriptomics reveals cellular heterogeneity and molecular stratification of cervical cancer,Communications biology,2022,single cell transcriptome,10× Genomics,Clinical phenotype,good prognosis,clinical samples,survival analysis,analysis,clinical data,"More importantly, we identified several DEGs in fibroblasts that were significantly associated with patient prognosis, such as CXCL8 and IGF1. The CXCL8 gene was upregulated in tumor fibroblasts and the high expression was associated with poor prognosis (Fig. 3f). The IGF1 gene was downregulated in tumor fibroblasts and the low expression was associated with poor prognosis (Fig. 3g).",
CT252,Human,Cervical,Cervical,,Cervical carcinoma,epithelial/cancer cell,cluster 1,,," CEACAM6, CD55, GJB6",,,,,33996252,Single-cell transcriptomics reveals the landscape of intra-tumoral heterogeneity and transcriptional activities of ECs in CC,Molecular therapy. Nucleic acids,2021,single cell transcriptome,10× Genomics,Clinical phenotype,better prognosis,clinical samples,survival analysis,analysis,clinical data,"Then, we found that cluster D (cluster 1 in scRNA-seq) was associated with a favorable survival outcome, while cluster B (cluster 0 in scRNA-seq) usually had a worse prognosis (Figure 2G).",
CT253,Human,Cervical,Cervical,,Cervical carcinoma,epithelial/cancer cell,cluster 0,,,"DEFB1, KRT5, CXCL10, WARS, LY6D, CRABP2, CXCL9, PHOV, C10orf99, PYCARD",,,,,33996252,Single-cell transcriptomics reveals the landscape of intra-tumoral heterogeneity and transcriptional activities of ECs in CC,Molecular therapy. Nucleic acids,2021,single cell transcriptome,10× Genomics,Clinical phenotype,worse prognosis,clinical samples,survival analysis,analysis,clinical data,"Then, we found that cluster D (cluster 1 in scRNA-seq) was associated with a favorable survival outcome, while cluster B (cluster 0 in scRNA-seq) usually had a worse prognosis (Figure 2G).",
CT254,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,myCAF,,,"POSTN, ACTA2, ITGB4, FAP",,,,,35986392,Single-Nucleus RNA Sequencing and Spatial Transcriptomics Reveal the Immunological Microenvironment of Cervical Squamous Cell Carcinoma,Advanced science,2022,single cell transcriptome,10× Genomics,Biological phenotype,existence,clinical samples,multiplex Immunofluorescence staining,"Abcam, MXB",protein,"Multiplex immunofluorescence (mIF) staining was used to determine the presence of myCAFs in CSCC tissues. The differentiated squamous cells and some tumors were intensely stained by KRT13, whereas the myCAFs were stained by POSTN (Figure 3E). The staining pattern of POSTN con firmed the presence of myCAFs adjacent to the tumors (Fig ure 3E, bottom).",
CT255,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,myCAF,,,POSTN,,,,,35986392,Single-Nucleus RNA Sequencing and Spatial Transcriptomics Reveal the Immunological Microenvironment of Cervical Squamous Cell Carcinoma,Advanced science,2022,spatial transcriptome,Stereo-seq,Biological phenotype,existence,clinical samples,Immunohistochemistry (IHC) staining,Abcam,protein,"The presence of myCAFs in CSCC was further confirmed by IHC staining of POSTN using serial tissue sections from the same samples (Fig ure S5C, Supporting Information).",
CT256,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,myCAF,,,POSTN,,,,,35986392,Single-Nucleus RNA Sequencing and Spatial Transcriptomics Reveal the Immunological Microenvironment of Cervical Squamous Cell Carcinoma,Advanced science,2022,spatial transcriptome,Stereo-seq,Biological phenotype,interaction,clinical samples,multiplex Immunofluorescence staining,"Abcam, MXB",protein,"To confirm this, we conducted mIF to mea sure the spatial distribution of myCAFs, CD4+ cells, and CD8+ cells using POSTN, CD4, and CD8 as markers, respectively.
The results showed the accumulation of CD4+ and CD8+ cells outside the tumors enclosed by myCAFs, especially CD4+ cells (Figure 5F).",
CT257,Human,Cervical,Cervical,,Cervical carcinoma,Fibroblast,myCAF,,,"POSTN, ACTA2, ITGB4, FAP",,,,,35986392,Single-Nucleus RNA Sequencing and Spatial Transcriptomics Reveal the Immunological Microenvironment of Cervical Squamous Cell Carcinoma,Advanced science,2022,single cell transcriptome,10× Genomics,Clinical phenotype,unfavorable progression-free survival and overall survival,clinical samples,survival analysis,analysis,clinical data,"Not surprisingly, higher myCAF signals predicted unfavorable progression-free survival (Figure 6D, HR = 1.66, 95%CI = 1.03–2.67, p = 0.038) and overall survival (Fig ure 6E, HR = 1.69, 95%CI = 1.00-2.84, p = 0.05) for patients with CSCC.",
CT258,Human,Ovary,Ovary,,Ovarian carcinoma,T cell,CD8+ GZMB+ T cells,,,"ENTPD1, CXCL13",,,,,33961783,Single-cell dissection of cellular components and interactions shaping the tumor immune phenotypes in ovarian cancer,Cancer cell,2021,single cell transcriptome,10× Genomics,Biological phenotype,higher activation state,clinical samples,multiplex Immunofluorescence staining,"Abcam, ThermoFisher Scientific,  Roche",protein,"To validate the activation state of CD8+GZMB T cells in infiltrated versus excluded tumors at the protein level, we subjected 17 ovarian cancer tissues (9 infiltrated, 8 excluded) from an independent validation collection to multiplex immunofluorescence for cytokeratins (panCK), CD3, PD-1, and GZMB. Among all GZMB+ T cells (CD3/GZMB double positive), we observed a trend for higher fraction of GZMB+ T cells positive for PD-1 in the infiltrated tumors compared with the excluded tumors in the tumor epithelium (p = 0.077, Fig ure S3G), supporting the higher activation state of GZMB+ T cells in infiltrated tumors, specifically those in the tumor area.",
CT259,Human,Ovary,Ovary,,Ovarian carcinoma,T cell,CD8+ GZMB+ T cells,,,"ENTPD1, CXCL13",,,,,33961783,Single-cell dissection of cellular components and interactions shaping the tumor immune phenotypes in ovarian cancer,Cancer cell,2021,single cell transcriptome,10× Genomics,Biological phenotype,infiltration,clinical samples,RNAscope,"RNAscope 2.5 LS Duplex Reagent Kit (ACD, Cat # 322440) with the RNAscope 2.5 LS Green Accessory Pack (ACD, Cat # 322550)",RNA,We subjected the same 17 ovarian cancer samples from the validation collection to an RNA-scope assay for in situ co-hybridization of GZMK/CD8A and GZMB/CD8A as well as localization within the stromal versus tumor area through H&E staining. Both CD8A/GZMK and CD8A/GZMB double-positive T cells accumulated in peritumoral stroma of excluded tumors and in tumor epithelium of infiltrated tumors (Figure 3G).,
CT260,Human,Ovary,Ovary,,Ovarian carcinoma,T cell,CD8+ GZMK+ T cells,,,"EOMES, KLRG1, CMC1",,,,,33961783,Single-cell dissection of cellular components and interactions shaping the tumor immune phenotypes in ovarian cancer,Cancer cell,2021,single cell transcriptome,10× Genomics,Biological phenotype,infiltration,clinical samples,RNAscope,"RNAscope 2.5 LS Duplex Reagent Kit (ACD, Cat # 322440) with the RNAscope 2.5 LS Green Accessory Pack (ACD, Cat # 322551)",RNA,We subjected the same 17 ovarian cancer samples from the validation collection to an RNA-scope assay for in situ co-hybridization of GZMK/CD8A and GZMB/CD8A as well as localization within the stromal versus tumor area through H&E staining. Both CD8A/GZMK and CD8A/GZMB double-positive T cells accumulated in peritumoral stroma of excluded tumors and in tumor epithelium of infiltrated tumors (Figure 3G).,
CT261,Human,Ovary,Ovary,,Ovarian carcinoma,T cell,CD8+ GZMK+ T cells,,,"EOMES, KLRG1, CMC1",,,,,33961783,Single-cell dissection of cellular components and interactions shaping the tumor immune phenotypes in ovarian cancer,Cancer cell,2021,single cell transcriptome,10× Genomics,Biological phenotype,higher proportion,clinical samples,RNAscope,"RNAscope 2.5 LS Duplex Reagent Kit (ACD, Cat # 322440) with the RNAscope 2.5 LS Green Accessory Pack (ACD, Cat # 322552)",RNA,"Our RNA-scope assay showed a significantly higher proportion of CD8A/GZMKdouble-positive cells in excluded sam ples compared with infiltrated samples (p = 0.03), but no significant difference in the proportion of CD8A/GZMB double-positive cells (Figure S3I).",
CT262,Human,Ovary,Ovary,,Ovarian carcinoma,T cell,CD8+ GZMK+ T cells,,,"EOMES, KLRG1, CMC1",,,,,33961783,Single-cell dissection of cellular components and interactions shaping the tumor immune phenotypes in ovarian cancer,Cancer cell,2021,single cell transcriptome,10× Genomics,Clinical phenotype,shorter PFS,clinical samples,survival analysis,analysis,clinical data,"Interestingly, while the GZMB/CD8+ ra tio was not associated with clinical outcome in this cohort, the GZMK/CD8+ ratio was significantly associated with shorter PFS, particularly when combined with the overall CD8+ T cell score in a multivariate model (p = 0.029, Figures 3J and S3K).",
CT263,Human,Ovary,Ovary,,Ovarian carcinoma,T cell,CD3+ T cell,,,"CD3D, CD3E, CD8A",,,,,35675036,Single-Cell RNA Sequencing Reveals the Tissue Architecture in Human High-Grade Serous Ovarian Cancer,Clinical cancer research,2022,single cell transcriptome,10× Genomics,Biological phenotype,lower proportion,clinical samples,Immunohistochemistry (IHC) staining,Proteintech,protein,"The proportion of T-cell cluster was decreased as the tumor stage went along (Fig. 1E; Supplementary Fig. S1D). To verify this, we examined the expression levels of T-cell marker CD3 in 40 cases of tissues from nonmalignant ovary and HGSOC tumor stage 1, stage 2, and stage 3 (n ¼ 10 in each group) using IHC. Our results confirmed that the proportions of CD3-positive immune cells were decreased from early to late tumor stages (Supplementary Fig. S1E).",
CT264,Human,Ovary,Ovary,,Ovarian carcinoma,epithelial cells,EMT-associated cells,,,"NOTCH1, SNAI2, WNT11, TGFBR1",,,,,35675036,Single-Cell RNA Sequencing Reveals the Tissue Architecture in Human High-Grade Serous Ovarian Cancer,Clinical cancer research,2022,single cell transcriptome,10× Genomics,Clinical phenotype,worse OS,clinical samples,survival analysis,analysis,clinical data,"Of note, the combination of these four genes was associated with worse OS in all these four datasets (Fig. 2F).",
CT265,Human,Ovary,Ovary,,Ovarian carcinoma,epithelial cells,EMT-associated cells,,,"NOTCH1, SNAI2, WNT11, TGFBR1",,,,,35675036,Single-Cell RNA Sequencing Reveals the Tissue Architecture in Human High-Grade Serous Ovarian Cancer,Clinical cancer research,2022,single cell transcriptome,10× Genomics,Biological phenotype,expression,clinical samples,Immunofluorescence staining,"Proteintech, Santa Cruz Biotech, Invitrogen",protein,"Moreover, other EMT marker genes CDH1 and VIM were further validated in HGSOC tissues by immunofluorescence (IF) analysis, and the results suggested that a robust group of cells carry potential EMT functions (Fig. 2G).",
CT266,Human,Ovary,Ovary,,Ovarian carcinoma,Fibroblast,mCAFs,,,"MMP11, THRC1, POSTN, VCAN, COL10A1",,,,,35675036,Single-Cell RNA Sequencing Reveals the Tissue Architecture in Human High-Grade Serous Ovarian Cancer,Clinical cancer research,2022,single cell transcriptome,10× Genomics,Clinical phenotype,worse prognosis,clinical samples,survival analysis,analysis,clinical data,"Consistently, Fig. 3E showed a correlation between high expression of these top marker genes and worse patient prognosis, evaluated by survival analysis using TCGA HGSOC data. The presence of mCAFs was also confirmed in ascites of 5 patients with late-stage HGSOC",
CT267,Human,Ovary,Ovary,,Ovarian carcinoma,Fibroblast,mCAFs,,,"MMP11, THRC1, POSTN, VCAN, COL10A1",,,,,35675036,Single-Cell RNA Sequencing Reveals the Tissue Architecture in Human High-Grade Serous Ovarian Cancer,Clinical cancer research,2022,single cell transcriptome,10× Genomics,Biological phenotype,expression,clinical samples,Immunofluorescence staining,"Proteintech, Santa Cruz Biotech, Invitrogen",protein,"IF staining demonstrated that mCAFs at late-stage HGSOC were positive for the canonical CAF markers a-SMA, vimentin, and COL3A, as well as the mCAF markers COL10A and MMP11 (Fig. 3F).",
CT268,Human,Ovary,Ovary,,Ovarian carcinoma,Fibroblast,mCAFs,,,"MMP11, THRC1, POSTN, VCAN, COL10A1",,,,,35675036,Single-Cell RNA Sequencing Reveals the Tissue Architecture in Human High-Grade Serous Ovarian Cancer,Clinical cancer research,2022,single cell transcriptome,10× Genomics,Biological phenotype,invasion,clinical samples,"Transwell invasion assay, Western blot","Transwell coculture system (Corning, 3460), Cell Signaling Technology, Santa Cruz Biotechnology",protein,"These mCAFs possessed certain pro-EMT properties, evidenced by upregulation of mesenchymal biomarkers such as ZEB1, vimentin, and snail at protein levels and an increase of tumor cell invasion in a CAF/ ovarian cancer cell (A2780 or OVCAR3) transwell coculture system (Fig. 3G and H).",
CT269,Human,Ovary,Ovary,,Ovarian carcinoma,macrophage,C7-APOBEC3A cells,,,"IFI6, ISG20, LY6E, IFIT3, CXCL10, IL1RN",,,,,35675036,Single-Cell RNA Sequencing Reveals the Tissue Architecture in Human High-Grade Serous Ovarian Cancer,Clinical cancer research,2022,single cell transcriptome,10× Genomics,Clinical phenotype,better prognosis,clinical samples,survival analysis,analysis,clinical data,"The gene signa ture of cluster C7-APOBEC3A was associated with a better prognosis (Fig. 4G), while the one for cluster C1-TCOF1 was associated with a poor prognosis (Fig. 4H).",
CT270,Human,Ovary,Ovary,,Ovarian carcinoma,macrophage,C1-TCOF1 cells,,,TCOF1,,,,,35675036,Single-Cell RNA Sequencing Reveals the Tissue Architecture in Human High-Grade Serous Ovarian Cancer,Clinical cancer research,2022,single cell transcriptome,10× Genomics,Clinical phenotype,poor prognosis,clinical samples,survival analysis,analysis,clinical data,"The gene signa ture of cluster C7-APOBEC3A was associated with a better prognosis (Fig. 4G), while the one for cluster C1-TCOF1 was associated with a poor prognosis (Fig. 4H).",
CT271,Human,Ovary,Ovary,,Ovarian carcinoma,T cell,CD8+ TRM cells,,,"IL15, IL17, NOTCH",,,,,35675036,Single-Cell RNA Sequencing Reveals the Tissue Architecture in Human High-Grade Serous Ovarian Cancer,Clinical cancer research,2022,single cell transcriptome,10× Genomics,Clinical phenotype, improved survival,clinical samples,survival analysis,analysis,clinical data,"We also checked the association of the gene signature of CD8þ TRM cells with patient survival, and demonstrated that the signature of CD8þ TRM cells was significantly associated with improved patient survival (Fig. 5H; Supplementary S6C).",
CT272,Human,Ovary,Ovary,,Ovarian carcinoma,T cell,CD8+ TEX cells,,,"CTLA4, HAVCR2, LAG3, PDCD1, SIRPA, TIGIT",,,,,35675036,Single-Cell RNA Sequencing Reveals the Tissue Architecture in Human High-Grade Serous Ovarian Cancer,Clinical cancer research,2022,single cell transcriptome,10× Genomics,Biological phenotype,existence,clinical samples,IHC and IF,"Proteintech, Santa Cruz Biotech, Invitrogen",model,"Notably, exhausted T cells (CD8þ TEX cells), marked by CD8-C0-CXCL13 or CD8-C7TNFRSF4, populated with cells from tumors.",
CT273,Human,Ovary,Ovary,,Ovarian carcinoma,T cell,CD8+ TEX cells,,,"CTLA4, HAVCR2, LAG3, PDCD1, SIRPA, TIGIT",,,,,35675036,Single-Cell RNA Sequencing Reveals the Tissue Architecture in Human High-Grade Serous Ovarian Cancer,Clinical cancer research,2022,single cell transcriptome,10× Genomics,Clinical phenotype,reduced tumor burden,mice,Xenograft mouse model,C57BL/6 mice,model,"As expected, anti–TIGIT treated mice showed reduced tumor burden (Fig. 6B), as shown by retarded tumor growth (Fig. 6C), lower tumor volume and tumor weight at the endpoint (Fig. 6D and E).",
